 Convergence        Position           [CO2]            [H+]         [HCO3-]         [CO3-2]           [OH-]            [K+]           Phi_2           Phi_1     RDE_Current
           T     9.50000E+00     8.00619E-01     1.65701E-05     4.30627E-02     4.83924E-07     1.09819E-09     4.30471E-02     6.29564E-02    -4.00000E-01     1.07669E+02
           T     1.05000E+01     7.92139E-01     1.46792E-05     4.80948E-02     6.10092E-07     1.23964E-09     4.80814E-02     6.01193E-02    -4.00000E-01     1.07669E+02
           T     1.15000E+01     7.83656E-01     1.31457E-05     5.31301E-02     7.52587E-07     1.38425E-09     5.31185E-02     5.75630E-02    -4.00000E-01     1.07669E+02
           T     1.25000E+01     7.75171E-01     1.18772E-05     5.81679E-02     9.11946E-07     1.53210E-09     5.81578E-02     5.52373E-02    -4.00000E-01     1.07669E+02
           T     1.35000E+01     7.66684E-01     1.08106E-05     6.32074E-02     1.08873E-06     1.68326E-09     6.31988E-02     5.31040E-02    -4.00000E-01     1.07669E+02
           T     1.45000E+01     7.58195E-01     9.90122E-06     6.82484E-02     1.28352E-06     1.83786E-09     6.82410E-02     5.11339E-02    -4.00000E-01     1.07669E+02
           T     1.55000E+01     7.49705E-01     9.11682E-06     7.32904E-02     1.49694E-06     1.99598E-09     7.32843E-02     4.93038E-02    -4.00000E-01     1.07669E+02
           T     1.65000E+01     7.41215E-01     8.43330E-06     7.83333E-02     1.72961E-06     2.15776E-09     7.83284E-02     4.75952E-02    -4.00000E-01     1.07669E+02
           T     1.75000E+01     7.32723E-01     7.83239E-06     8.33769E-02     1.98222E-06     2.32330E-09     8.33731E-02     4.59930E-02    -4.00000E-01     1.07669E+02
           T     1.85000E+01     7.24231E-01     7.29997E-06     8.84211E-02     2.25546E-06     2.49275E-09     8.84184E-02     4.44847E-02    -4.00000E-01     1.07669E+02
           T     1.95000E+01     7.15739E-01     6.82499E-06     9.34658E-02     2.55006E-06     2.66623E-09     9.34641E-02     4.30600E-02    -4.00000E-01     1.07669E+02
           T     2.05000E+01     7.07246E-01     6.39862E-06     9.85109E-02     2.86680E-06     2.84390E-09     9.85102E-02     4.17100E-02    -4.00000E-01     1.07669E+02
           T     2.15000E+01     6.98753E-01     6.01377E-06     1.03556E-01     3.20648E-06     3.02589E-09     1.03557E-01     4.04275E-02    -4.00000E-01     1.07669E+02
           T     2.25000E+01     6.90259E-01     5.66467E-06     1.08602E-01     3.56996E-06     3.21237E-09     1.08603E-01     3.92058E-02    -4.00000E-01     1.07669E+02
           T     2.35000E+01     6.81765E-01     5.34655E-06     1.13648E-01     3.95810E-06     3.40350E-09     1.13650E-01     3.80396E-02    -4.00000E-01     1.07669E+02
           T     2.45000E+01     6.73271E-01     5.05547E-06     1.18694E-01     4.37186E-06     3.59947E-09     1.18698E-01     3.69240E-02    -4.00000E-01     1.07669E+02
           T     2.55000E+01     6.64777E-01     4.78813E-06     1.23740E-01     4.81221E-06     3.80044E-09     1.23745E-01     3.58548E-02    -4.00000E-01     1.07669E+02
           T     2.65000E+01     6.56283E-01     4.54173E-06     1.28786E-01     5.28018E-06     4.00663E-09     1.28792E-01     3.48284E-02    -4.00000E-01     1.07669E+02
           T     2.75000E+01     6.47788E-01     4.31390E-06     1.33833E-01     5.77687E-06     4.21822E-09     1.33840E-01     3.38413E-02    -4.00000E-01     1.07669E+02
           T     2.85000E+01     6.39294E-01     4.10263E-06     1.38879E-01     6.30340E-06     4.43545E-09     1.38888E-01     3.28908E-02    -4.00000E-01     1.07669E+02
           T     2.95000E+01     6.30799E-01     3.90618E-06     1.43926E-01     6.86100E-06     4.65852E-09     1.43936E-01     3.19741E-02    -4.00000E-01     1.07669E+02
           T     3.05000E+01     6.22304E-01     3.72303E-06     1.48973E-01     7.45093E-06     4.88769E-09     1.48984E-01     3.10891E-02    -4.00000E-01     1.07669E+02
           T     3.15000E+01     6.13809E-01     3.55188E-06     1.54019E-01     8.07452E-06     5.12321E-09     1.54032E-01     3.02335E-02    -4.00000E-01     1.07669E+02
           T     3.25000E+01     6.05314E-01     3.39159E-06     1.59066E-01     8.73321E-06     5.36533E-09     1.59080E-01     2.94055E-02    -4.00000E-01     1.07669E+02
           T     3.35000E+01     5.96819E-01     3.24116E-06     1.64113E-01     9.42848E-06     5.61435E-09     1.64128E-01     2.86034E-02    -4.00000E-01     1.07669E+02
           T     3.45000E+01     5.88324E-01     3.09971E-06     1.69159E-01     1.01619E-05     5.87056E-09     1.69177E-01     2.78255E-02    -4.00000E-01     1.07669E+02
           T     3.55000E+01     5.79829E-01     2.96645E-06     1.74206E-01     1.09352E-05     6.13428E-09     1.74225E-01     2.70705E-02    -4.00000E-01     1.07669E+02
           T     3.65000E+01     5.71334E-01     2.84069E-06     1.79253E-01     1.17501E-05     6.40584E-09     1.79273E-01     2.63371E-02    -4.00000E-01     1.07669E+02
           T     3.75000E+01     5.62839E-01     2.72182E-06     1.84299E-01     1.26085E-05     6.68559E-09     1.84322E-01     2.56240E-02    -4.00000E-01     1.07669E+02
           T     3.85000E+01     5.54344E-01     2.60929E-06     1.89346E-01     1.35124E-05     6.97392E-09     1.89370E-01     2.49302E-02    -4.00000E-01     1.07669E+02
           T     3.95000E+01     5.45848E-01     2.50261E-06     1.94393E-01     1.44640E-05     7.27122E-09     1.94419E-01     2.42546E-02    -4.00000E-01     1.07669E+02
           T     4.05000E+01     5.37353E-01     2.40132E-06     1.99439E-01     1.54654E-05     7.57792E-09     1.99468E-01     2.35963E-02    -4.00000E-01     1.07669E+02
           T     4.15000E+01     5.28858E-01     2.30503E-06     2.04485E-01     1.65191E-05     7.89448E-09     2.04516E-01     2.29545E-02    -4.00000E-01     1.07669E+02
           T     4.25000E+01     5.20363E-01     2.21338E-06     2.09532E-01     1.76276E-05     8.22136E-09     2.09565E-01     2.23284E-02    -4.00000E-01     1.07669E+02
           T     4.35000E+01     5.11868E-01     2.12604E-06     2.14578E-01     1.87937E-05     8.55909E-09     2.14613E-01     2.17171E-02    -4.00000E-01     1.07669E+02
           T     4.45000E+01     5.03372E-01     2.04272E-06     2.19624E-01     2.00203E-05     8.90822E-09     2.19662E-01     2.11201E-02    -4.00000E-01     1.07669E+02
           T     4.55000E+01     4.94877E-01     1.96314E-06     2.24670E-01     2.13105E-05     9.26933E-09     2.24711E-01     2.05366E-02    -4.00000E-01     1.07669E+02
           T     4.65000E+01     4.86382E-01     1.88706E-06     2.29716E-01     2.26676E-05     9.64304E-09     2.29760E-01     1.99661E-02    -4.00000E-01     1.07669E+02
           T     4.75000E+01     4.77887E-01     1.81425E-06     2.34762E-01     2.40952E-05     1.00300E-08     2.34808E-01     1.94079E-02    -4.00000E-01     1.07669E+02
           T     4.85000E+01     4.69392E-01     1.74451E-06     2.39808E-01     2.55971E-05     1.04310E-08     2.39857E-01     1.88617E-02    -4.00000E-01     1.07669E+02
           T     4.95000E+01     4.60897E-01     1.67764E-06     2.44853E-01     2.71774E-05     1.08468E-08     2.44906E-01     1.83268E-02    -4.00000E-01     1.07669E+02
           T     5.05000E+01     4.52402E-01     1.61347E-06     2.49899E-01     2.88406E-05     1.12782E-08     2.49955E-01     1.78028E-02    -4.00000E-01     1.07669E+02
           T     5.15000E+01     4.43907E-01     1.55184E-06     2.54944E-01     3.05913E-05     1.17261E-08     2.55004E-01     1.72893E-02    -4.00000E-01     1.07669E+02
           T     5.25000E+01     4.35412E-01     1.49261E-06     2.59989E-01     3.24347E-05     1.21914E-08     2.60052E-01     1.67859E-02    -4.00000E-01     1.07669E+02
           T     5.35000E+01     4.26917E-01     1.43563E-06     2.65034E-01     3.43764E-05     1.26753E-08     2.65101E-01     1.62922E-02    -4.00000E-01     1.07669E+02
           T     5.45000E+01     4.18422E-01     1.38078E-06     2.70079E-01     3.64222E-05     1.31788E-08     2.70150E-01     1.58077E-02    -4.00000E-01     1.07669E+02
           T     5.55000E+01     4.09927E-01     1.32794E-06     2.75123E-01     3.85787E-05     1.37031E-08     2.75199E-01     1.53323E-02    -4.00000E-01     1.07669E+02
           T     5.65000E+01     4.01433E-01     1.27701E-06     2.80168E-01     4.08529E-05     1.42497E-08     2.80248E-01     1.48655E-02    -4.00000E-01     1.07669E+02
           T     5.75000E+01     3.92938E-01     1.22788E-06     2.85212E-01     4.32524E-05     1.48198E-08     2.85297E-01     1.44070E-02    -4.00000E-01     1.07669E+02
           T     5.85000E+01     3.84444E-01     1.18046E-06     2.90255E-01     4.57855E-05     1.54151E-08     2.90346E-01     1.39565E-02    -4.00000E-01     1.07669E+02
           T     5.95000E+01     3.75949E-01     1.13466E-06     2.95299E-01     4.84612E-05     1.60374E-08     2.95395E-01     1.35139E-02    -4.00000E-01     1.07669E+02
           T     6.05000E+01     3.67455E-01     1.09040E-06     3.00342E-01     5.12895E-05     1.66883E-08     3.00444E-01     1.30787E-02    -4.00000E-01     1.07669E+02
           T     6.15000E+01     3.58961E-01     1.04761E-06     3.05385E-01     5.42811E-05     1.73700E-08     3.05493E-01     1.26507E-02    -4.00000E-01     1.07669E+02
           T     6.25000E+01     3.50466E-01     1.00620E-06     3.10428E-01     5.74479E-05     1.80848E-08     3.10541E-01     1.22298E-02    -4.00000E-01     1.07669E+02
           T     6.35000E+01     3.41972E-01     9.66125E-07     3.15470E-01     6.08029E-05     1.88350E-08     3.15590E-01     1.18157E-02    -4.00000E-01     1.07669E+02
           T     6.45000E+01     3.33479E-01     9.27308E-07     3.20512E-01     6.43605E-05     1.96235E-08     3.20639E-01     1.14082E-02    -4.00000E-01     1.07669E+02
           T     6.55000E+01     3.24985E-01     8.89696E-07     3.25553E-01     6.81365E-05     2.04531E-08     3.25688E-01     1.10070E-02    -4.00000E-01     1.07669E+02
           T     6.65000E+01     3.16491E-01     8.53231E-07     3.30594E-01     7.21486E-05     2.13272E-08     3.30737E-01     1.06120E-02    -4.00000E-01     1.07669E+02
           T     6.75000E+01     3.07998E-01     8.17864E-07     3.35634E-01     7.64161E-05     2.22494E-08     3.35786E-01     1.02229E-02    -4.00000E-01     1.07669E+02
           T     6.85000E+01     2.99504E-01     7.83545E-07     3.40674E-01     8.09608E-05     2.32239E-08     3.40835E-01     9.83970E-03    -4.00000E-01     1.07669E+02
           T     6.95000E+01     2.91011E-01     7.50229E-07     3.45713E-01     8.58069E-05     2.42553E-08     3.45884E-01     9.46211E-03    -4.00000E-01     1.07669E+02
           T     7.05000E+01     2.82518E-01     7.17872E-07     3.50752E-01     9.09815E-05     2.53486E-08     3.50933E-01     9.08999E-03    -4.00000E-01     1.07669E+02
           T     7.15000E+01     2.74026E-01     6.86433E-07     3.55790E-01     9.65152E-05     2.65095E-08     3.55982E-01     8.72319E-03    -4.00000E-01     1.07669E+02
           T     7.25000E+01     2.65533E-01     6.55874E-07     3.60827E-01     1.02442E-04     2.77447E-08     3.61031E-01     8.36155E-03    -4.00000E-01     1.07669E+02
           T     7.35000E+01     2.57041E-01     6.26158E-07     3.65863E-01     1.08801E-04     2.90614E-08     3.66080E-01     8.00493E-03    -4.00000E-01     1.07669E+02
           T     7.45000E+01     2.48549E-01     5.97252E-07     3.70899E-01     1.15637E-04     3.04679E-08     3.71129E-01     7.65319E-03    -4.00000E-01     1.07669E+02
           T     7.55000E+01     2.40058E-01     5.69122E-07     3.75933E-01     1.23000E-04     3.19738E-08     3.76178E-01     7.30621E-03    -4.00000E-01     1.07669E+02
           T     7.65000E+01     2.31567E-01     5.41738E-07     3.80966E-01     1.30947E-04     3.35900E-08     3.81228E-01     6.96385E-03    -4.00000E-01     1.07669E+02
           T     7.75000E+01     2.23076E-01     5.15071E-07     3.85998E-01     1.39546E-04     3.53291E-08     3.86277E-01     6.62599E-03    -4.00000E-01     1.07669E+02
           T     7.85000E+01     2.14586E-01     4.89094E-07     3.91029E-01     1.48873E-04     3.72056E-08     3.91326E-01     6.29252E-03    -4.00000E-01     1.07669E+02
           T     7.95000E+01     2.06096E-01     4.63779E-07     3.96057E-01     1.59018E-04     3.92364E-08     3.96375E-01     5.96332E-03    -4.00000E-01     1.07669E+02
           T     8.05000E+01     1.97606E-01     4.39102E-07     4.01085E-01     1.70087E-04     4.14415E-08     4.01424E-01     5.63828E-03    -4.00000E-01     1.07669E+02
           T     8.15000E+01     1.89118E-01     4.15039E-07     4.06110E-01     1.82203E-04     4.38441E-08     4.06474E-01     5.31731E-03    -4.00000E-01     1.07669E+02
           T     8.25000E+01     1.80630E-01     3.91568E-07     4.11132E-01     1.95512E-04     4.64721E-08     4.11523E-01     5.00029E-03    -4.00000E-01     1.07669E+02
           T     8.35000E+01     1.72143E-01     3.68668E-07     4.16152E-01     2.10192E-04     4.93588E-08     4.16573E-01     4.68713E-03    -4.00000E-01     1.07669E+02
           T     8.45000E+01     1.63656E-01     3.46319E-07     4.21169E-01     2.26455E-04     5.25441E-08     4.21622E-01     4.37774E-03    -4.00000E-01     1.07669E+02
           T     8.55000E+01     1.55171E-01     3.24500E-07     4.26183E-01     2.44558E-04     5.60771E-08     4.26672E-01     4.07203E-03    -4.00000E-01     1.07669E+02
           T     8.65000E+01     1.46687E-01     3.03194E-07     4.31192E-01     2.64820E-04     6.00177E-08     4.31722E-01     3.76990E-03    -4.00000E-01     1.07669E+02
           T     8.75000E+01     1.38205E-01     2.82384E-07     4.36197E-01     2.87635E-04     6.44407E-08     4.36772E-01     3.47127E-03    -4.00000E-01     1.07669E+02
           T     8.85000E+01     1.29724E-01     2.62053E-07     4.41195E-01     3.13503E-04     6.94403E-08     4.41822E-01     3.17607E-03    -4.00000E-01     1.07669E+02
           T     8.95000E+01     1.21245E-01     2.42185E-07     4.46187E-01     3.43060E-04     7.51369E-08     4.46873E-01     2.88420E-03    -4.00000E-01     1.07669E+02
           T     9.05000E+01     1.12769E-01     2.22766E-07     4.51170E-01     3.77130E-04     8.16867E-08     4.51924E-01     2.59559E-03    -4.00000E-01     1.07669E+02
           T     9.15000E+01     1.04295E-01     2.03782E-07     4.56142E-01     4.16806E-04     8.92965E-08     4.56975E-01     2.31016E-03    -4.00000E-01     1.07669E+02
           T     9.25000E+01     9.58261E-02     1.85220E-07     4.61100E-01     4.63561E-04     9.82452E-08     4.62027E-01     2.02783E-03    -4.00000E-01     1.07669E+02
           T     9.35000E+01     8.73616E-02     1.67069E-07     4.66041E-01     5.19431E-04     1.08919E-07     4.67080E-01     1.74853E-03    -4.00000E-01     1.07669E+02
           T     9.45000E+01     7.89036E-02     1.49318E-07     4.70960E-01     5.87315E-04     1.21867E-07     4.72134E-01     1.47216E-03    -4.00000E-01     1.07669E+02
           T     9.55000E+01     7.04542E-02     1.31959E-07     4.75847E-01     6.71473E-04     1.37899E-07     4.77190E-01     1.19865E-03    -4.00000E-01     1.07669E+02
           T     9.65000E+01     6.20168E-02     1.14985E-07     4.80692E-01     7.78438E-04     1.58255E-07     4.82248E-01     9.27894E-04    -4.00000E-01     1.07669E+02
           T     9.75000E+01     5.35967E-02     9.83950E-08     4.85473E-01     9.18738E-04     1.84938E-07     4.87310E-01     6.59771E-04    -4.00000E-01     1.07669E+02
           T     9.85000E+01     4.52032E-02     8.21928E-08     4.90157E-01     1.11046E-03     2.21394E-07     4.92378E-01     3.94118E-04    -4.00000E-01     1.07669E+02
           T     9.95000E+01     3.68532E-02     6.63973E-08     4.94681E-01     1.38731E-03     2.74063E-07     4.97455E-01     1.30677E-04    -4.00000E-01     1.07669E+02
           T     1.00000E+02     3.27046E-02     5.86662E-08     4.96846E-01     1.57701E-03     3.10179E-07     5.00000E-01     0.00000E+00    -4.00000E-01     1.07669E+02
           T     0.00000E+00     8.74178E-01     4.96161E-04     1.57028E-03     5.89324E-10     3.66756E-11     1.07412E-03     1.58172E-01    -4.08000E-01     1.07461E+02
           T     5.00000E-01     8.71941E-01     3.71354E-04     2.09266E-03     1.04933E-09     4.90018E-11     1.72131E-03     1.42700E-01    -4.08000E-01     1.07461E+02
           T     1.50000E+00     8.65654E-01     1.55996E-04     4.94573E-03     5.90360E-09     1.16650E-10     4.78975E-03     1.18497E-01    -4.08000E-01     1.07461E+02
           T     2.50000E+00     8.57877E-01     8.23555E-05     9.28394E-03     2.09913E-08     2.20957E-10     9.20162E-03     1.02303E-01    -4.08000E-01     1.07461E+02
           T     3.50000E+00     8.49664E-01     5.38733E-05     1.40564E-02     4.85847E-08     3.37774E-10     1.40026E-02     9.16775E-02    -4.08000E-01     1.07461E+02
           T     4.50000E+00     8.41318E-01     3.95424E-05     1.89625E-02     8.92963E-08     4.60189E-10     1.89232E-02     8.40025E-02    -4.08000E-01     1.07461E+02
           T     5.50000E+00     8.32916E-01     3.10299E-05     2.39233E-02     1.43563E-07     5.86435E-10     2.38926E-02     7.80418E-02    -4.08000E-01     1.07461E+02
           T     6.50000E+00     8.24488E-01     2.54167E-05     2.89111E-02     2.11810E-07     7.15947E-10     2.88861E-02     7.31828E-02    -4.08000E-01     1.07461E+02
           T     7.50000E+00     8.16044E-01     2.14453E-05     3.39142E-02     2.94476E-07     8.48532E-10     3.38934E-02     6.90867E-02    -4.08000E-01     1.07461E+02
           T     8.50000E+00     8.07591E-01     1.84903E-05     3.89267E-02     3.92017E-07     9.84139E-10     3.89090E-02     6.55485E-02    -4.08000E-01     1.07461E+02
           T     9.50000E+00     7.99131E-01     1.62071E-05     4.39454E-02     5.04904E-07     1.12278E-09     4.39302E-02     6.24356E-02    -4.08000E-01     1.07461E+02
           T     1.05000E+01     7.90667E-01     1.43906E-05     4.89684E-02     6.33633E-07     1.26451E-09     4.89553E-02     5.96572E-02    -4.08000E-01     1.07461E+02
           T     1.15000E+01     7.82200E-01     1.29113E-05     5.39944E-02     7.78717E-07     1.40939E-09     5.39831E-02     5.71488E-02    -4.08000E-01     1.07461E+02
           T     1.25000E+01     7.73731E-01     1.16834E-05     5.90227E-02     9.40694E-07     1.55750E-09     5.90129E-02     5.48627E-02    -4.08000E-01     1.07461E+02
           T     1.35000E+01     7.65260E-01     1.06481E-05     6.40528E-02     1.12013E-06     1.70895E-09     6.40443E-02     5.27629E-02    -4.08000E-01     1.07461E+02
           T     1.45000E+01     7.56788E-01     9.76328E-06     6.90841E-02     1.31760E-06     1.86382E-09     6.90770E-02     5.08214E-02    -4.08000E-01     1.07461E+02
           T     1.55000E+01     7.48314E-01     8.99847E-06     7.41165E-02     1.53372E-06     2.02223E-09     7.41106E-02     4.90160E-02    -4.08000E-01     1.07461E+02
           T     1.65000E+01     7.39840E-01     8.33082E-06     7.91498E-02     1.76914E-06     2.18430E-09     7.91450E-02     4.73290E-02    -4.08000E-01     1.07461E+02
           T     1.75000E+01     7.31365E-01     7.74294E-06     8.41838E-02     2.02452E-06     2.35014E-09     8.41801E-02     4.57457E-02    -4.08000E-01     1.07461E+02
           T     1.85000E+01     7.22889E-01     7.22135E-06     8.92183E-02     2.30057E-06     2.51989E-09     8.92156E-02     4.42543E-02    -4.08000E-01     1.07461E+02
           T     1.95000E+01     7.14413E-01     6.75544E-06     9.42532E-02     2.59802E-06     2.69368E-09     9.42517E-02     4.28446E-02    -4.08000E-01     1.07461E+02
           T     2.05000E+01     7.05937E-01     6.33675E-06     9.92885E-02     2.91765E-06     2.87166E-09     9.92881E-02     4.15081E-02    -4.08000E-01     1.07461E+02
           T     2.15000E+01     6.97460E-01     5.95846E-06     1.04324E-01     3.26025E-06     3.05398E-09     1.04325E-01     4.02378E-02    -4.08000E-01     1.07461E+02
           T     2.25000E+01     6.88983E-01     5.61500E-06     1.09360E-01     3.62668E-06     3.24079E-09     1.09362E-01     3.90272E-02    -4.08000E-01     1.07461E+02
           T     2.35000E+01     6.80506E-01     5.30176E-06     1.14396E-01     4.01783E-06     3.43226E-09     1.14399E-01     3.78711E-02    -4.08000E-01     1.07461E+02
           T     2.45000E+01     6.72028E-01     5.01493E-06     1.19433E-01     4.43464E-06     3.62857E-09     1.19436E-01     3.67647E-02    -4.08000E-01     1.07461E+02
           T     2.55000E+01     6.63550E-01     4.75130E-06     1.24469E-01     4.87808E-06     3.82990E-09     1.24474E-01     3.57040E-02    -4.08000E-01     1.07461E+02
           T     2.65000E+01     6.55072E-01     4.50818E-06     1.29506E-01     5.34918E-06     4.03645E-09     1.29512E-01     3.46854E-02    -4.08000E-01     1.07461E+02
           T     2.75000E+01     6.46594E-01     4.28325E-06     1.34542E-01     5.84905E-06     4.24841E-09     1.34550E-01     3.37056E-02    -4.08000E-01     1.07461E+02
           T     2.85000E+01     6.38116E-01     4.07455E-06     1.39579E-01     6.37882E-06     4.46602E-09     1.39588E-01     3.27617E-02    -4.08000E-01     1.07461E+02
           T     2.95000E+01     6.29638E-01     3.88039E-06     1.44616E-01     6.93970E-06     4.68948E-09     1.44626E-01     3.18514E-02    -4.08000E-01     1.07461E+02
           T     3.05000E+01     6.21159E-01     3.69929E-06     1.49653E-01     7.53296E-06     4.91905E-09     1.49664E-01     3.09721E-02    -4.08000E-01     1.07461E+02
           T     3.15000E+01     6.12681E-01     3.52999E-06     1.54690E-01     8.15995E-06     5.15498E-09     1.54702E-01     3.01220E-02    -4.08000E-01     1.07461E+02
           T     3.25000E+01     6.04202E-01     3.37136E-06     1.59726E-01     8.82209E-06     5.39752E-09     1.59741E-01     2.92991E-02    -4.08000E-01     1.07461E+02
           T     3.35000E+01     5.95724E-01     3.22244E-06     1.64763E-01     9.52086E-06     5.64697E-09     1.64779E-01     2.85017E-02    -4.08000E-01     1.07461E+02
           T     3.45000E+01     5.87245E-01     3.08234E-06     1.69800E-01     1.02579E-05     5.90363E-09     1.69818E-01     2.77284E-02    -4.08000E-01     1.07461E+02
           T     3.55000E+01     5.78767E-01     2.95032E-06     1.74837E-01     1.10348E-05     6.16780E-09     1.74856E-01     2.69776E-02    -4.08000E-01     1.07461E+02
           T     3.65000E+01     5.70288E-01     2.82570E-06     1.79874E-01     1.18534E-05     6.43983E-09     1.79895E-01     2.62482E-02    -4.08000E-01     1.07461E+02
           T     3.75000E+01     5.61809E-01     2.70786E-06     1.84911E-01     1.27156E-05     6.72007E-09     1.84934E-01     2.55389E-02    -4.08000E-01     1.07461E+02
           T     3.85000E+01     5.53331E-01     2.59627E-06     1.89948E-01     1.36233E-05     7.00889E-09     1.89972E-01     2.48487E-02    -4.08000E-01     1.07461E+02
           T     3.95000E+01     5.44852E-01     2.49045E-06     1.94984E-01     1.45788E-05     7.30671E-09     1.95011E-01     2.41765E-02    -4.08000E-01     1.07461E+02
           T     4.05000E+01     5.36373E-01     2.38996E-06     2.00021E-01     1.55842E-05     7.61393E-09     2.00050E-01     2.35215E-02    -4.08000E-01     1.07461E+02
           T     4.15000E+01     5.27894E-01     2.29441E-06     2.05058E-01     1.66420E-05     7.93102E-09     2.05089E-01     2.28827E-02    -4.08000E-01     1.07461E+02
           T     4.25000E+01     5.19416E-01     2.20344E-06     2.10094E-01     1.77547E-05     8.25846E-09     2.10128E-01     2.22595E-02    -4.08000E-01     1.07461E+02
           T     4.35000E+01     5.10937E-01     2.11673E-06     2.15131E-01     1.89251E-05     8.59677E-09     2.15167E-01     2.16510E-02    -4.08000E-01     1.07461E+02
           T     4.45000E+01     5.02458E-01     2.03398E-06     2.20167E-01     2.01560E-05     8.94649E-09     2.20205E-01     2.10566E-02    -4.08000E-01     1.07461E+02
           T     4.55000E+01     4.93980E-01     1.95494E-06     2.25203E-01     2.14507E-05     9.30821E-09     2.25244E-01     2.04757E-02    -4.08000E-01     1.07461E+02
           T     4.65000E+01     4.85501E-01     1.87936E-06     2.30240E-01     2.28124E-05     9.68256E-09     2.30283E-01     1.99076E-02    -4.08000E-01     1.07461E+02
           T     4.75000E+01     4.77022E-01     1.80701E-06     2.35276E-01     2.42446E-05     1.00702E-08     2.35322E-01     1.93518E-02    -4.08000E-01     1.07461E+02
           T     4.85000E+01     4.68544E-01     1.73770E-06     2.40312E-01     2.57513E-05     1.04719E-08     2.40361E-01     1.88078E-02    -4.08000E-01     1.07461E+02
           T     4.95000E+01     4.60065E-01     1.67124E-06     2.45347E-01     2.73365E-05     1.08884E-08     2.45400E-01     1.82750E-02    -4.08000E-01     1.07461E+02
           T     5.05000E+01     4.51586E-01     1.60745E-06     2.50383E-01     2.90047E-05     1.13205E-08     2.50439E-01     1.77531E-02    -4.08000E-01     1.07461E+02
           T     5.15000E+01     4.43108E-01     1.54617E-06     2.55418E-01     3.07606E-05     1.17691E-08     2.55478E-01     1.72416E-02    -4.08000E-01     1.07461E+02
           T     5.25000E+01     4.34630E-01     1.48727E-06     2.60454E-01     3.26093E-05     1.22352E-08     2.60517E-01     1.67400E-02    -4.08000E-01     1.07461E+02
           T     5.35000E+01     4.26151E-01     1.43060E-06     2.65489E-01     3.45564E-05     1.27199E-08     2.65557E-01     1.62481E-02    -4.08000E-01     1.07461E+02
           T     5.45000E+01     4.17673E-01     1.37604E-06     2.70524E-01     3.66079E-05     1.32242E-08     2.70596E-01     1.57654E-02    -4.08000E-01     1.07461E+02
           T     5.55000E+01     4.09195E-01     1.32348E-06     2.75558E-01     3.87702E-05     1.37494E-08     2.75635E-01     1.52917E-02    -4.08000E-01     1.07461E+02
           T     5.65000E+01     4.00716E-01     1.27280E-06     2.80593E-01     4.10503E-05     1.42968E-08     2.80674E-01     1.48265E-02    -4.08000E-01     1.07461E+02
           T     5.75000E+01     3.92238E-01     1.22391E-06     2.85627E-01     4.34560E-05     1.48679E-08     2.85713E-01     1.43696E-02    -4.08000E-01     1.07461E+02
           T     5.85000E+01     3.83760E-01     1.17672E-06     2.90661E-01     4.59954E-05     1.54642E-08     2.90752E-01     1.39206E-02    -4.08000E-01     1.07461E+02
           T     5.95000E+01     3.75282E-01     1.13113E-06     2.95695E-01     4.86777E-05     1.60874E-08     2.95791E-01     1.34794E-02    -4.08000E-01     1.07461E+02
           T     6.05000E+01     3.66804E-01     1.08708E-06     3.00728E-01     5.15127E-05     1.67394E-08     3.00830E-01     1.30456E-02    -4.08000E-01     1.07461E+02
