    Position             C_O2             C_OH             C_Na             C_Cl              Phi            C_H2O
     0.96000   1.64231666E-04   2.03348254E-04   1.00007663E+00   9.99873278E-01  -6.30494697E-05   5.34996825E+01
     1.02000   1.69384856E-04   1.89186068E-04   1.00007073E+00   9.99881547E-01  -6.26146376E-05   5.34996891E+01
     1.08000   1.74006810E-04   1.75619846E-04   1.00006516E+00   9.99889543E-01  -6.21634018E-05   5.34996957E+01
     1.14000   1.78040942E-04   1.62710045E-04   1.00005995E+00   9.99897243E-01  -6.16940827E-05   5.34997021E+01
     1.20000   1.81619163E-04   1.50406259E-04   1.00005505E+00   9.99904641E-01  -6.12082170E-05   5.34997083E+01
     1.26000   1.84689355E-04   1.38761961E-04   1.00005048E+00   9.99911716E-01  -6.07043103E-05   5.34997144E+01
     1.32000   1.87385785E-04   1.27720083E-04   1.00004619E+00   9.99918469E-01  -6.01840736E-05   5.34997202E+01
     1.38000   1.89656793E-04   1.17327804E-04   1.00004221E+00   9.99924884E-01  -5.96461740E-05   5.34997259E+01
     1.44000   1.91635441E-04   1.07522181E-04   1.00003849E+00   9.99930967E-01  -5.90924713E-05   5.34997314E+01
     1.50000   1.93267472E-04   9.83449692E-05   1.00003505E+00   9.99936706E-01  -5.85217682E-05   5.34997366E+01
     1.56000   1.94682221E-04   8.97282880E-05   1.00003184E+00   9.99942113E-01  -5.79360459E-05   5.34997416E+01
     1.62000   1.95820842E-04   8.17094551E-05   1.00002889E+00   9.99947181E-01  -5.73342151E-05   5.34997464E+01
     1.68000   1.96807474E-04   7.42166753E-05   1.00002614E+00   9.99951925E-01  -5.67183516E-05   5.34997509E+01
     1.74000   1.97577694E-04   6.72838701E-05   1.00002363E+00   9.99956342E-01  -5.60874464E-05   5.34997552E+01
     1.80000   1.98249894E-04   6.08363772E-05   1.00002129E+00   9.99960452E-01  -5.54436424E-05   5.34997592E+01
     1.86000   1.98753901E-04   5.49057600E-05   1.00001916E+00   9.99964255E-01  -5.47859850E-05   5.34997629E+01
     1.92000   1.99202505E-04   4.94155074E-05   1.00001719E+00   9.99967773E-01  -5.41166588E-05   5.34997664E+01
     1.98000   1.99520189E-04   4.43958090E-05   1.00001540E+00   9.99971007E-01  -5.34347389E-05   5.34997697E+01
     2.04000   1.99814738E-04   3.97692483E-05   1.00001375E+00   9.99973981E-01  -5.27424281E-05   5.34997727E+01
     2.10000   2.00006029E-04   3.55655317E-05   1.00001227E+00   9.99976700E-01  -5.20388093E-05   5.34997755E+01
     2.16000   2.00197675E-04   3.17071714E-05   1.00001089E+00   9.99979186E-01  -5.13260831E-05   5.34997780E+01
     2.22000   2.00305825E-04   2.82241590E-05   1.00000967E+00   9.99981445E-01  -5.06033210E-05   5.34997804E+01
     2.28000   2.00430800E-04   2.50396375E-05   1.00000854E+00   9.99983499E-01  -4.98727044E-05   5.34997825E+01
     2.34000   2.00485888E-04   2.21845118E-05   1.00000754E+00   9.99985355E-01  -4.91332780E-05   5.34997844E+01
     2.40000   2.00568946E-04   1.95831147E-05   1.00000662E+00   9.99987034E-01  -4.83871896E-05   5.34997862E+01
     2.46000   2.00591164E-04   1.72677469E-05   1.00000581E+00   9.99988542E-01  -4.76334456E-05   5.34997878E+01
     2.52000   2.00648638E-04   1.51643445E-05   1.00000506E+00   9.99989900E-01  -4.68741502E-05   5.34997892E+01
     2.58000   2.00651086E-04   1.33069438E-05   1.00000442E+00   9.99991111E-01  -4.61082626E-05   5.34997905E+01
     2.64000   2.00693394E-04   1.16233607E-05   1.00000382E+00   9.99992197E-01  -4.53378367E-05   5.34997917E+01
     2.70000   2.00684294E-04   1.01495737E-05   1.00000331E+00   9.99993160E-01  -4.45617794E-05   5.34997927E+01
     2.76000   2.00717869E-04   8.81543185E-06   1.00000284E+00   9.99994020E-01  -4.37820906E-05   5.34997936E+01
     2.82000   2.00702213E-04   7.65894627E-06   1.00000244E+00   9.99994777E-01  -4.29976230E-05   5.34997944E+01
     2.88000   2.00730902E-04   6.61204639E-06   1.00000206E+00   9.99995451E-01  -4.22103211E-05   5.34997951E+01
     2.94000   2.00711630E-04   5.71476887E-06   1.00000175E+00   9.99996040E-01  -4.14189835E-05   5.34997958E+01
     3.00000   2.00737661E-04   4.90108648E-06   1.00000146E+00   9.99996562E-01  -4.06255007E-05   5.34997963E+01
     3.06000   2.00716449E-04   4.21297678E-06   1.00000123E+00   9.99997015E-01  -3.98286198E-05   5.34997968E+01
     3.12000   2.00741075E-04   3.58635531E-06   1.00000100E+00   9.99997415E-01  -3.90301798E-05   5.34997973E+01
     3.18000   2.00718851E-04   3.06499842E-06   1.00000083E+00   9.99997761E-01  -3.82288798E-05   5.34997976E+01
     3.24000   2.00742755E-04   2.58662082E-06   1.00000065E+00   9.99998065E-01  -3.74265113E-05   5.34997980E+01
     3.30000   2.00720018E-04   2.19661599E-06   1.00000052E+00   9.99998324E-01  -3.66217304E-05   5.34997982E+01
     3.36000   2.00743560E-04   1.83433008E-06   1.00000039E+00   9.99998553E-01  -3.58162855E-05   5.34997985E+01
     3.42000   2.00720570E-04   1.54656761E-06   1.00000029E+00   9.99998747E-01  -3.50087952E-05   5.34997987E+01
     3.48000   2.00743936E-04   1.27413084E-06   1.00000019E+00   9.99998917E-01  -3.42009695E-05   5.34997989E+01
     3.54000   2.00720825E-04   1.06501661E-06   1.00000012E+00   9.99999059E-01  -3.33913950E-05   5.34997990E+01
     3.60000   2.00744107E-04   8.61314599E-07   1.00000005E+00   9.99999185E-01  -3.25817479E-05   5.34997992E+01
     3.66000   2.00720939E-04   7.11990494E-07   1.00000000E+00   9.99999289E-01  -3.17705890E-05   5.34997993E+01
     3.72000   2.00744183E-04   5.60271595E-07   9.99999941E-01   9.99999381E-01  -3.09595645E-05   5.34997994E+01
     3.78000   2.00720989E-04   4.55867861E-07   9.99999911E-01   9.99999455E-01  -3.01472152E-05   5.34997995E+01
     3.84000   2.00744216E-04   3.43024326E-07   9.99999865E-01   9.99999522E-01  -2.93351605E-05   5.34997995E+01
     3.90000   2.00721011E-04   2.71968699E-07   9.99999846E-01   9.99999574E-01  -2.85219276E-05   5.34997996E+01
     3.96000   2.00744230E-04   1.87884609E-07   9.99999810E-01   9.99999623E-01  -2.77091109E-05   5.34997996E+01
     4.02000   2.00721019E-04   1.41283085E-07   9.99999801E-01   9.99999659E-01  -2.68952299E-05   5.34997997E+01
     4.08000   2.00744235E-04   7.82603318E-08   9.99999772E-01   9.99999694E-01  -2.60818551E-05   5.34997997E+01
     4.14000   2.00721023E-04   4.93562147E-08   9.99999768E-01   9.99999719E-01  -2.52675052E-05   5.34997997E+01
     4.20000   2.00744238E-04   1.62288871E-09   9.99999745E-01   9.99999744E-01  -2.44537253E-05   5.34997998E+01
     4.26000   2.00721025E-04  -1.46657595E-08   9.99999746E-01   9.99999761E-01  -2.36390410E-05   5.34997998E+01
     4.32000   2.00744238E-04  -5.13652445E-08   9.99999727E-01   9.99999778E-01  -2.28249688E-05   5.34997998E+01
     4.38000   2.00721025E-04  -5.88345868E-08   9.99999730E-01   9.99999789E-01  -2.20100508E-05   5.34997998E+01
     4.44000   2.00744239E-04  -8.75714533E-08   9.99999714E-01   9.99999801E-01  -2.11957677E-05   5.34997998E+01
     4.50000   2.00721026E-04  -8.90557885E-08   9.99999720E-01   9.99999809E-01  -2.03806910E-05   5.34997998E+01
     4.56000   2.00744238E-04  -1.11976120E-07   9.99999705E-01   9.99999817E-01  -1.95662538E-05   5.34997998E+01
     4.62000   2.00721027E-04  -1.09618030E-07   9.99999713E-01   9.99999822E-01  -1.87510753E-05   5.34997999E+01
     4.68000   2.00744236E-04  -1.28134067E-07   9.99999700E-01   9.99999828E-01  -1.79365214E-05   5.34997999E+01
     4.74000   2.00721030E-04  -1.23614663E-07   9.99999708E-01   9.99999831E-01  -1.71212856E-05   5.34997999E+01
     4.80000   2.00744232E-04  -1.38530759E-07   9.99999696E-01   9.99999835E-01  -1.63066363E-05   5.34997999E+01
     4.86000   2.00721038E-04  -1.33276966E-07   9.99999704E-01   9.99999838E-01  -1.54913810E-05   5.34997999E+01
     4.92000   2.00744218E-04  -1.44848287E-07   9.99999694E-01   9.99999839E-01  -1.46766432E-05   5.34997999E+01
     4.98000   2.00721061E-04  -1.40238835E-07   9.99999702E-01   9.99999842E-01  -1.38614049E-05   5.34997999E+01
     5.04000   2.00744179E-04  -1.48153212E-07   9.99999693E-01   9.99999841E-01  -1.30465702E-05   5.34997999E+01
     5.10000   2.00721130E-04  -1.45753124E-07   9.99999700E-01   9.99999846E-01  -1.22313905E-05   5.34997999E+01
     5.16000   2.00744058E-04  -1.49013737E-07   9.99999692E-01   9.99999841E-01  -1.14164324E-05   5.34997999E+01
     5.22000   2.00721340E-04  -1.50881414E-07   9.99999698E-01   9.99999849E-01  -1.06013659E-05   5.34997999E+01
     5.28000   2.00743687E-04  -1.47546834E-07   9.99999693E-01   9.99999840E-01  -9.78623288E-06   5.34997999E+01
     5.34000   2.00722000E-04  -1.56683186E-07   9.99999696E-01   9.99999853E-01  -8.97135936E-06   5.34997999E+01
     5.40000   2.00742510E-04  -1.43385607E-07   9.99999694E-01   9.99999838E-01  -8.15596142E-06   5.34997999E+01
     5.46000   2.00724113E-04  -1.64439381E-07   9.99999693E-01   9.99999858E-01  -7.34140564E-06   5.34997999E+01
     5.52000   2.00738693E-04  -1.35540555E-07   9.99999698E-01   9.99999833E-01  -6.52559028E-06   5.34997999E+01
     5.58000   2.00731048E-04  -1.75963010E-07   9.99999688E-01   9.99999864E-01  -5.71155605E-06   5.34997999E+01
     5.64000   2.00726019E-04  -1.22100683E-07   9.99999705E-01   9.99999827E-01  -4.89506194E-06   5.34997999E+01
     5.70000   2.00754345E-04  -1.94082748E-07   9.99999677E-01   9.99999871E-01  -4.08189998E-06   5.34997999E+01
     5.76000   2.00682948E-04  -9.96722530E-08   9.99999722E-01   9.99999822E-01  -3.26425592E-06   5.34997999E+01
     5.82000   2.00834439E-04  -2.23446809E-07   9.99999646E-01   9.99999870E-01  -2.45262568E-06   5.34997999E+01
     5.88000   2.00533145E-04  -6.23673942E-08   9.99999778E-01   9.99999841E-01  -1.63287663E-06   5.34997999E+01
     5.94000   2.01116237E-04  -2.71907169E-07   9.99999537E-01   9.99999809E-01  -8.24242436E-07   5.34997998E+01
     6.00000   2.00000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998000E+01
