        Time         Position                F                G                H
     0.00000   4.20000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.30000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.40000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.50000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.60000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.70000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.80000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.90000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.10000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.20000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.30000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.40000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.50000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.60000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.70000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.80000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.90000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.10000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.20000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.30000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.40000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.50000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.60000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.70000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.80000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.90000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   7.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   7.10000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   7.20000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   7.30000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   7.40000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   7.50000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   7.60000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   7.70000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   7.80000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   7.90000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.10000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.20000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.30000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.40000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.50000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.60000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.70000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.80000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.90000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   9.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   9.10000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   9.20000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   9.30000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   9.40000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   9.50000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   9.60000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   9.70000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   9.80000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   9.90000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.00000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2777.77778   0.00000000E+00   0.00000000E+00   1.00000000E+00   0.00000000E+00
  2777.77778   1.00000000E-01   4.61517129E-02   9.38487283E-01  -5.08429691E-03
  2777.77778   2.00000000E-01   8.34959159E-02   8.77871868E-01  -1.84606852E-02
  2777.77778   3.00000000E-01   1.13141411E-01   8.18832873E-01  -3.84826633E-02
  2777.77778   4.00000000E-01   1.36108808E-01   7.61869958E-01  -6.37172494E-02
  2777.77778   5.00000000E-01   1.53328972E-01   7.07336202E-01  -9.29261866E-02
  2777.77778   6.00000000E-01   1.65643759E-01   6.55465934E-01  -1.25048838E-01
  2777.77778   7.00000000E-01   1.73808522E-01   6.06398251E-01  -1.59183690E-01
  2777.77778   8.00000000E-01   1.78495898E-01   5.60196777E-01  -1.94572247E-01
  2777.77778   9.00000000E-01   1.80300520E-01   5.16866182E-01  -2.30582049E-01
  2777.77778   1.00000000E+00   1.79744324E-01   4.76365907E-01  -2.66692455E-01
  2777.77778   1.10000000E+00   1.77282212E-01   4.38621476E-01  -3.02479779E-01
  2777.77778   1.20000000E+00   1.73307847E-01   4.03533755E-01  -3.37605340E-01
  2777.77778   1.30000000E+00   1.68159438E-01   3.70986441E-01  -3.71802918E-01
  2777.77778   1.40000000E+00   1.62125379E-01   3.40852087E-01  -4.04869115E-01
  2777.77778   1.50000000E+00   1.55449656E-01   3.12996858E-01  -4.36653070E-01
  2777.77778   1.60000000E+00   1.48336945E-01   2.87284261E-01  -4.67048977E-01
  2777.77778   1.70000000E+00   1.40957382E-01   2.63578013E-01  -4.95987848E-01
  2777.77778   1.80000000E+00   1.33450938E-01   2.41744196E-01  -5.23431930E-01
  2777.77778   1.90000000E+00   1.25931436E-01   2.21652848E-01  -5.49368223E-01
  2777.77778   2.00000000E+00   1.18490170E-01   2.03179083E-01  -5.73804504E-01
  2777.77778   2.10000000E+00   1.11199158E-01   1.86203852E-01  -5.96764291E-01
  2777.77778   2.20000000E+00   1.04114038E-01   1.70614408E-01  -6.18284167E-01
  2777.77778   2.30000000E+00   9.72766266E-02   1.56304544E-01  -6.38409906E-01
  2777.77778   2.40000000E+00   9.07171663E-02   1.43174665E-01  -6.57194818E-01
  2777.77778   2.50000000E+00   8.44562854E-02   1.31131727E-01  -6.74696773E-01
  2777.77778   2.60000000E+00   7.85066960E-02   1.20089075E-01  -6.90977332E-01
  2777.77778   2.70000000E+00   7.28746579E-02   1.09966224E-01  -7.06099451E-01
  2777.77778   2.80000000E+00   6.75612306E-02   1.00688581E-01  -7.20127195E-01
  2777.77778   2.90000000E+00   6.25633396E-02   9.21871514E-02  -7.33123943E-01
  2777.77778   3.00000000E+00   5.78746778E-02   8.43982150E-02  -7.45152531E-01
  2777.77778   3.10000000E+00   5.34864631E-02   7.72630072E-02  -7.56273814E-01
  2777.77778   3.20000000E+00   4.93880706E-02   7.07273941E-02  -7.66547116E-01
  2777.77778   3.30000000E+00   4.55675571E-02   6.47415569E-02  -7.76029043E-01
  2777.77778   3.40000000E+00   4.20120915E-02   5.92596857E-02  -7.84774139E-01
  2777.77778   3.50000000E+00   3.87083071E-02   5.42396868E-02  -7.92833879E-01
  2777.77778   3.60000000E+00   3.56425847E-02   4.96429039E-02  -8.00257462E-01
  2777.77778   3.70000000E+00   3.28012791E-02   4.54338556E-02  -8.07090913E-01
  2777.77778   3.80000000E+00   3.01708979E-02   4.15799884E-02  -8.13377973E-01
  2777.77778   3.90000000E+00   2.77382389E-02   3.80514458E-02  -8.19159272E-01
  2777.77778   4.00000000E+00   2.54904946E-02   3.48208533E-02  -8.24473269E-01
  2777.77778   4.10000000E+00   2.34153292E-02   3.18631182E-02  -8.29355470E-01
  2777.77778   4.20000000E+00   2.15009322E-02   2.91552451E-02  -8.33839401E-01
  2777.77778   4.30000000E+00   1.97360541E-02   2.66761635E-02  -8.37955843E-01
  2777.77778   4.40000000E+00   1.81100265E-02   2.44065706E-02  -8.41733822E-01
  2777.77778   4.50000000E+00   1.66127704E-02   2.23287846E-02  -8.45199853E-01
  2777.77778   4.60000000E+00   1.52347956E-02   2.04266105E-02  -8.48378930E-01
  2777.77778   4.70000000E+00   1.39671920E-02   1.86852167E-02  -8.51293772E-01
  2777.77778   4.80000000E+00   1.28016155E-02   1.70910207E-02  -8.53965807E-01
  2777.77778   4.90000000E+00   1.17302695E-02   1.56315855E-02  -8.56414418E-01
  2777.77778   5.00000000E+00   1.07458839E-02   1.42955228E-02  -8.58657915E-01
  2777.77778   5.10000000E+00   9.84169153E-03   1.30724054E-02  -8.60712771E-01
  2777.77778   5.20000000E+00   9.01140337E-03   1.19526866E-02  -8.62594592E-01
  2777.77778   5.30000000E+00   8.24918306E-03   1.09276257E-02  -8.64317333E-01
  2777.77778   5.40000000E+00   7.54962129E-03   9.98922062E-03  -8.65894265E-01
  2777.77778   5.50000000E+00   6.90771032E-03   9.13014523E-03  -8.67337181E-01
  2777.77778   5.60000000E+00   6.31881895E-03   8.34369259E-03  -8.68657349E-01
  2777.77778   5.70000000E+00   5.77866822E-03   7.62372265E-03  -8.69864709E-01
  2777.77778   5.80000000E+00   5.28330793E-03   6.96461438E-03  -8.70968816E-01
  2777.77778   5.90000000E+00   4.82909419E-03   6.36122197E-03  -8.71978032E-01
  2777.77778   6.00000000E+00   4.41266794E-03   5.80883466E-03  -8.72900454E-01
  2777.77778   6.10000000E+00   4.03093468E-03   5.30314002E-03  -8.73743099E-01
  2777.77778   6.20000000E+00   3.68104518E-03   4.84019022E-03  -8.74512828E-01
  2777.77778   6.30000000E+00   3.36037745E-03   4.41637130E-03  -8.75215517E-01
  2777.77778   6.40000000E+00   3.06651971E-03   4.02837486E-03  -8.75856979E-01
  2777.77778   6.50000000E+00   2.79725449E-03   3.67317228E-03  -8.76442125E-01
  2777.77778   6.60000000E+00   2.55054375E-03   3.34799106E-03  -8.76975881E-01
  2777.77778   6.70000000E+00   2.32451502E-03   3.05029311E-03  -8.77462343E-01
  2777.77778   6.80000000E+00   2.11744853E-03   2.77775501E-03  -8.77905687E-01
  2777.77778   6.90000000E+00   1.92776515E-03   2.52824978E-03  -8.78309322E-01
  2777.77778   7.00000000E+00   1.75401536E-03   2.29983032E-03  -8.78676793E-01
  2777.77778   7.10000000E+00   1.59486886E-03   2.09071415E-03  -8.79010928E-01
  2777.77778   7.20000000E+00   1.44910505E-03   1.89926954E-03  -8.79314740E-01
  2777.77778   7.30000000E+00   1.31560424E-03   1.72400272E-03  -8.79590570E-01
  2777.77778   7.40000000E+00   1.19333947E-03   1.56354620E-03  -8.79840982E-01
  2777.77778   7.50000000E+00   1.08136899E-03   1.41664817E-03  -8.80067906E-01
  2777.77778   7.60000000E+00   9.78829300E-04   1.28216260E-03  -8.80273530E-01
  2777.77778   7.70000000E+00   8.84928809E-04   1.15904040E-03  -8.80459438E-01
  2777.77778   7.80000000E+00   7.98941894E-04   1.04632115E-03  -8.80627501E-01
  2777.77778   7.90000000E+00   7.20203497E-04   9.43125649E-04  -8.80779015E-01
  2777.77778   8.00000000E+00   6.48104128E-04   8.48649005E-04  -8.80915582E-01
  2777.77778   8.10000000E+00   5.82085282E-04   7.62154381E-04  -8.81038256E-01
  2777.77778   8.20000000E+00   5.21635213E-04   6.82967229E-04  -8.81148417E-01
  2777.77778   8.30000000E+00   4.66285060E-04   6.10470023E-04  -8.81246910E-01
  2777.77778   8.40000000E+00   4.15605282E-04   5.44097440E-04  -8.81334931E-01
  2777.77778   8.50000000E+00   3.69202388E-04   4.83331940E-04  -8.81413152E-01
  2777.77778   8.60000000E+00   3.26715933E-04   4.27699733E-04  -8.81482612E-01
  2777.77778   8.70000000E+00   2.87815761E-04   3.76767075E-04  -8.81543839E-01
  2777.77778   8.80000000E+00   2.52199474E-04   3.30136882E-04  -8.81597738E-01
  2777.77778   8.90000000E+00   2.19590112E-04   2.87445633E-04  -8.81644719E-01
  2777.77778   9.00000000E+00   1.89734023E-04   2.48360531E-04  -8.81685574E-01
  2777.77778   9.10000000E+00   1.62398910E-04   2.12576905E-04  -8.81720612E-01
  2777.77778   9.20000000E+00   1.37372041E-04   1.79815834E-04  -8.81750533E-01
  2777.77778   9.30000000E+00   1.14458607E-04   1.49821966E-04  -8.81775561E-01
  2777.77778   9.40000000E+00   9.34802159E-05   1.22361531E-04  -8.81796317E-01
  2777.77778   9.50000000E+00   7.42735158E-05   9.72205139E-05  -8.81812953E-01
  2777.77778   9.60000000E+00   5.66889282E-05   7.42029824E-05  -8.81826026E-01
  2777.77778   9.70000000E+00   4.05894901E-05   5.31295625E-05  -8.81835629E-01
  2777.77778   9.80000000E+00   2.58497927E-05   3.38360363E-05  -8.81842262E-01
  2777.77778   9.90000000E+00   1.23550085E-05   1.61720618E-05  -8.81845969E-01
  2777.77778   1.00000000E+01   0.00000000E+00   0.00000000E+00  -8.81847204E-01
